case,DAC-MACS,RD-DABE,RW-ABE,TAAC
10,,,75.6,
1,,,,62.6
2,,,,60.3
3,,,,61.6
4,,,,69.7
5,,,,74.4
6,,,,71.6
7,,,,76.3
8,,,,69.6
9,,,,75.8
10,,,,84.0
1,71.2,,,
2,75.2,,,
3,63.5,,,
4,74.2,,,
5,68.8,,,
6,69.8,,,
7,64.5,,,
8,58.5,,,
9,88.3,,,
10,75.7,,,
1,,77.7,,
2,,55.8,,
3,,50.7,,
4,,83.5,,
5,,55.2,,
6,,69.4,,
7,,68.9,,
8,,52.3,,
9,,58.2,,
10,,58.5,,
1,,,73.7,
2,,,61.4,
3,,,64.0,
4,,,76.2,
5,,,75.3,
6,,,79.1,
7,,,75.3,
8,,,62.8,
9,,,66.4,
10,,,79.3,
1,,,,59.3
2,,,,55.3
3,,,,54.7
4,,,,57.6
5,,,,73.6
6,,,,67.4
7,,,,62.7
8,,,,66.4
9,,,,67.7
10,,,,70.8
1,58.5,,,
2,69.8,,,
3,61.9,,,
4,74.9,,,
5,69.8,,,
6,67.2,,,
7,63.6,,,
8,68.2,,,
9,68.0,,,
10,71.1,,,
1,,67.0,,
2,,48.9,,
3,,55.3,,
4,,53.2,,
5,,89.1,,
6,,63.7,,
7,,63.4,,
8,,58.4,,
9,,81.5,,
10,,58.8,,
1,,,60.3,
2,,,66.0,
3,,,61.9,
4,,,61.9,
5,,,71.4,
6,,,64.6,
7,,,70.7,
8,,,67.1,
9,,,76.6,
10,,,74.9,
1,,,,57.3
2,,,,64.1
3,,,,61.3
4,,,,58.8
5,,,,62.1
6,,,,61.6
7,,,,64.6
8,,,,63.0
9,,,,67.4
10,,,,70.6
1,70.7,,,
2,63.1,,,
3,71.5,,,
4,64.8,,,
5,76.3,,,
6,81.7,,,
7,75.6,,,
8,78.1,,,
9,64.7,,,
10,69.2,,,
1,,54.9,,
2,,56.1,,
3,,79.0,,
4,,65.5,,
5,,55.9,,
6,,72.7,,
7,,67.4,,
8,,64.2,,
9,,68.6,,
10,,68.8,,
1,,,69.5,
2,,,59.2,
3,,,65.4,
4,,,72.1,
5,,,64.5,
6,,,68.0,
7,,,68.8,
8,,,73.8,
9,,,74.4,
10,,,77.1,
1,,,,60.8
2,,,,57.2
3,,,,54.4
4,,,,73.9
5,,,,61.8
6,,,,63.8
7,,,,71.6
8,,,,70.2
9,,,,65.3
10,,,,77.7
1,64.3,,,
2,54.3,,,
3,58.5,,,
4,63.5,,,
5,57.8,,,
6,63.2,,,
7,68.6,,,
8,69.9,,,
9,76.9,,,
10,67.5,,,
1,,58.7,,
2,,70.4,,
3,,80.8,,
4,,59.0,,
5,,46.7,,
6,,49.0,,
7,,44.4,,
8,,61.0,,
9,,58.8,,
10,,45.4,,
1,,,61.7,
2,,,60.3,
3,,,58.8,
4,,,67.9,
5,,,78.5,
6,,,70.4,
7,,,83.7,
8,,,72.5,
9,,,75.8,
10,,,80.7,
1,,,,58.9
2,,,,60.3
3,,,,60.7
4,,,,83.5
5,,,,72.8
6,,,,63.3
7,,,,71.5
8,,,,73.9
9,,,,75.5
10,,,,71.5
1,50.9,,,
2,70.4,,,
3,64.9,,,
4,69.6,,,
5,65.2,,,
6,71.5,,,
7,76.1,,,
8,77.0,,,
9,77.3,,,
10,76.6,,,
1,,66.0,,
2,,42.9,,
3,,61.6,,
4,,67.2,,
5,,63.0,,
6,,60.4,,
7,,55.5,,
8,,45.7,,
9,,55.3,,
10,,62.9,,
1,,,63.7,
2,,,62.2,
3,,,57.5,
4,,,58.6,
5,,,76.3,
6,,,67.6,
7,,,66.0,
8,,,70.5,
9,,,68.3,
10,,,72.9,
1,,,,72.5
2,,,,61.9
3,,,,57.7
4,,,,68.7
5,,,,67.1
6,,,,77.5
7,,,,77.2
8,,,,64.4
9,,,,73.1
10,,,,74.5
1,58.9,,,
2,52.1,,,
3,69.7,,,
4,59.2,,,
5,76.5,,,
6,63.3,,,
7,66.9,,,
8,71.3,,,
9,82.9,,,
10,84.1,,,
1,,70.8,,
2,,89.1,,
3,,52.4,,
4,,73.5,,
5,,39.4,,
6,,58.0,,
7,,82.4,,
8,,45.4,,
9,,58.7,,
10,,43.2,,
1,,,65.0,
2,,,62.9,
3,,,71.2,
4,,,76.7,
5,,,74.4,
6,,,65.4,
7,,,73.4,
8,,,75.5,
9,,,68.4,
10,,,72.1,
1,,,,58.9
2,,,,53.6
3,,,,61.0
4,,,,68.7
5,,,,62.4
6,,,,67.8
7,,,,67.4
8,,,,75.9
9,,,,68.1
10,,,,66.7
1,62.3,,,
2,54.5,,,
3,66.2,,,
4,63.0,,,
5,66.3,,,
6,78.7,,,
7,72.7,,,
8,64.9,,,
9,75.4,,,
10,65.5,,,
1,,52.2,,
2,,82.1,,
3,,78.2,,
4,,55.2,,
5,,48.8,,
6,,84.9,,
7,,64.2,,
8,,55.0,,
9,,47.6,,
10,,56.0,,
1,,,53.8,
2,,,57.5,
3,,,68.8,
4,,,43.0,
5,,,68.4,
6,,,73.4,
7,,,62.5,
8,,,78.6,
9,,,78.7,
10,,,79.8,
1,,,,60.5
2,,,,66.2
3,,,,56.8
4,,,,57.4
5,,,,62.1
6,,,,64.3
7,,,,71.2
8,,,,80.6
9,,,,76.1
10,,,,73.7
1,71.6,,,
2,66.5,,,
3,67.4,,,
4,62.3,,,
5,69.8,,,
6,66.8,,,
7,63.8,,,
8,68.4,,,
9,70.7,,,
10,70.5,,,
1,,55.4,,
2,,61.1,,
3,,58.7,,
4,,70.7,,
5,,70.1,,
6,,48.0,,
7,,71.8,,
8,,68.6,,
9,,60.3,,
10,,45.4,,
1,,,66.1,
2,,,68.9,
3,,,58.6,
4,,,69.6,
5,,,76.7,
6,,,70.1,
7,,,64.8,
8,,,68.7,
9,,,77.5,
10,,,72.1,
1,,,,57.2
2,,,,60.6
3,,,,61.3
4,,,,58.8
5,,,,59.2
6,,,,65.5
7,,,,65.9
8,,,,67.9
9,,,,73.9
10,,,,76.7
1,75.0,,,
2,66.9,,,
3,72.9,,,
4,66.4,,,
5,73.0,,,
6,65.0,,,
7,67.8,,,
8,69.8,,,
9,64.2,,,
10,70.8,,,
1,,64.3,,
2,,45.8,,
3,,50.9,,
4,,62.7,,
5,,71.3,,
6,,68.5,,
7,,66.2,,
8,,54.6,,
9,,70.1,,
10,,63.9,,
1,,,56.7,
2,,,69.3,
3,,,72.3,
4,,,60.6,
5,,,66.9,
6,,,72.7,
7,,,76.3,
8,,,69.9,
9,,,67.0,
10,,,73.0,
1,,,,51.4
2,,,,69.7
3,,,,63.0
4,,,,66.0
5,,,,70.1
6,,,,62.6
7,,,,75.2
8,,,,74.7
9,,,,80.4
10,,,,76.7
1,51.7,,,
2,57.0,,,
3,68.2,,,
4,65.5,,,
5,66.9,,,
6,63.1,,,
7,59.9,,,
8,71.9,,,
9,75.4,,,
10,70.4,,,
1,,65.3,,
2,,57.9,,
3,,62.1,,
4,,64.1,,
5,,54.6,,
6,,58.1,,
7,,75.9,,
8,,55.5,,
9,,58.5,,
10,,62.4,,
1,,,64.1,
2,,,64.3,
3,,,63.8,
4,,,68.3,
5,,,64.6,
6,,,67.8,
7,,,66.4,
8,,,67.1,
9,,,71.3,
10,,,70.8,
1,,,,59.0
2,,,,72.2
3,,,,50.0
4,,,,66.4
5,,,,67.9
6,,,,70.3
7,,,,70.7
8,,,,70.4
9,,,,67.9
10,,,,71.8
1,55.9,,,
2,61.1,,,
3,54.0,,,
4,64.2,,,
5,62.8,,,
6,65.9,,,
7,75.9,,,
8,66.5,,,
9,70.2,,,
10,78.7,,,
1,,46.6,,
2,,63.0,,
3,,68.3,,
4,,53.7,,
5,,55.2,,
6,,78.5,,
7,,81.5,,
8,,71.7,,
9,,86.9,,
10,,85.0,,
1,,,57.3,
2,,,64.8,
3,,,62.6,
4,,,66.8,
5,,,62.6,
6,,,63.6,
7,,,73.9,
8,,,71.9,
9,,,78.6,
10,,,75.8,
1,,,,77.1
2,,,,57.3
3,,,,58.2
4,,,,64.4
5,,,,59.0
6,,,,69.9
7,,,,65.0
8,,,,69.9
9,,,,67.2
10,,,,65.4
1,68.6,,,
2,54.2,,,
3,56.2,,,
4,70.5,,,
5,69.8,,,
6,74.6,,,
7,64.2,,,
8,65.2,,,
9,75.5,,,
10,71.7,,,
1,,61.7,,
2,,52.1,,
3,,78.2,,
4,,46.8,,
5,,52.3,,
6,,50.6,,
7,,58.7,,
8,,55.9,,
9,,59.0,,
10,,65.1,,
1,,,72.5,
2,,,55.3,
3,,,63.1,
4,,,69.6,
5,,,60.0,
6,,,73.9,
7,,,61.7,
8,,,83.7,
9,,,69.0,
10,,,77.2,
1,,,,52.9
2,,,,67.6
3,,,,56.0
4,,,,62.6
5,,,,67.1
6,,,,80.7
7,,,,74.5
8,,,,74.2
9,,,,74.6
10,,,,79.4
1,63.8,,,
2,56.2,,,
3,67.5,,,
4,70.9,,,
5,76.3,,,
6,69.3,,,
7,74.9,,,
8,63.8,,,
9,68.1,,,
10,77.1,,,
1,,58.4,,
2,,58.7,,
3,,74.2,,
4,,81.9,,
5,,46.3,,
6,,78.4,,
7,,55.6,,
8,,65.6,,
9,,78.5,,
10,,82.1,,
1,,,55.1,
2,,,68.9,
3,,,69.4,
4,,,61.9,
5,,,77.1,
6,,,73.9,
7,,,65.7,
8,,,70.7,
9,,,69.4,
10,,,71.3,
1,,,,52.6
2,,,,52.1
3,,,,68.7
4,,,,60.5
5,,,,61.8
6,,,,64.9
7,,,,72.5
8,,,,65.3
9,,,,64.8
10,,,,70.2
1,62.7,,,
2,51.0,,,
3,60.7,,,
4,64.7,,,
5,62.6,,,
6,60.1,,,
7,66.4,,,
8,85.8,,,
9,71.6,,,
10,80.4,,,
1,,69.4,,
2,,84.5,,
3,,63.2,,
4,,72.6,,
5,,47.7,,
6,,53.6,,
7,,72.2,,
8,,15.3,,
9,,69.0,,
10,,55.2,,
1,,,46.7,
2,,,81.0,
3,,,66.9,
4,,,59.1,
5,,,67.3,
6,,,72.5,
7,,,73.0,
8,,,72.8,
9,,,75.3,
10,,,76.5,
1,,,,67.7
2,,,,68.2
3,,,,63.8
4,,,,74.8
5,,,,71.9
6,,,,76.6
7,,,,82.8
8,,,,75.3
9,,,,64.4
10,,,,79.0
1,64.0,,,
2,58.8,,,
3,57.9,,,
4,54.6,,,
5,59.1,,,
6,59.0,,,
7,72.2,,,
8,72.3,,,
9,63.8,,,
10,67.2,,,
1,,61.0,,
2,,70.7,,
3,,63.2,,
4,,68.5,,
5,,42.1,,
6,,45.6,,
7,,64.1,,
8,,64.5,,
9,,64.0,,
10,,50.9,,
1,,,62.2,
2,,,63.5,
3,,,67.3,
4,,,59.1,
5,,,70.4,
6,,,62.1,
7,,,70.5,
8,,,70.9,
9,,,81.3,
10,,,76.7,
1,,,,62.0
2,,,,53.0
3,,,,67.1
4,,,,57.5
5,,,,62.9
6,,,,59.0
7,,,,63.6
8,,,,69.5
9,,,,65.9
10,,,,67.3
1,62.9,,,
2,67.2,,,
3,63.1,,,
4,70.9,,,
5,64.5,,,
6,67.2,,,
7,72.2,,,
8,67.4,,,
9,69.3,,,
10,75.3,,,
1,,58.3,,
2,,60.6,,
3,,63.9,,
4,,78.8,,
5,,72.5,,
6,,50.4,,
7,,62.9,,
8,,73.6,,
9,,51.3,,
10,,61.2,,
1,,,48.4,
2,,,62.5,
3,,,69.3,
4,,,69.6,
5,,,64.4,
6,,,74.9,
7,,,66.7,
8,,,76.8,
9,,,78.1,
10,,,77.5,
1,,,,66.8
2,,,,62.6
3,,,,69.1
4,,,,58.4
5,,,,63.1
6,,,,61.6
7,,,,73.0
8,,,,74.7
9,,,,79.5
10,,,,75.1
1,60.2,,,
2,53.1,,,
3,60.7,,,
4,58.0,,,
5,63.7,,,
6,72.2,,,
7,60.8,,,
8,72.4,,,
9,61.9,,,
10,76.4,,,
1,,66.4,,
2,,67.3,,
3,,58.8,,
4,,71.7,,
5,,61.3,,
6,,74.9,,
7,,58.6,,
8,,77.4,,
9,,68.3,,
10,,54.7,,
1,,,64.2,
2,,,76.7,
3,,,75.1,
4,,,75.1,
5,,,80.1,
6,,,65.6,
7,,,74.8,
8,,,68.2,
9,,,72.9,
10,,,74.5,
1,,,,48.0
2,,,,61.7
3,,,,57.4
4,,,,62.0
5,,,,56.4
6,,,,75.2
7,,,,64.6
8,,,,68.6
9,,,,71.0
10,,,,67.9
1,49.6,,,
2,54.7,,,
3,58.7,,,
4,63.6,,,
5,65.0,,,
6,62.2,,,
7,70.0,,,
8,63.5,,,
9,60.5,,,
10,76.7,,,
1,,64.6,,
2,,53.0,,
3,,49.9,,
4,,74.7,,
5,,85.9,,
6,,61.0,,
7,,51.6,,
8,,77.9,,
9,,67.3,,
10,,42.9,,
1,,,63.3,
2,,,65.3,
3,,,58.9,
4,,,70.2,
5,,,60.5,
6,,,61.0,
7,,,68.5,
8,,,75.7,
9,,,79.8,
10,,,72.2,
1,,,,67.3
2,,,,63.5
3,,,,64.5
4,,,,74.0
5,,,,71.6
6,,,,64.5
7,,,,67.4
8,,,,63.3
9,,,,79.3
10,,,,83.1
1,70.8,,,
2,57.0,,,
3,64.9,,,
4,69.8,,,
5,83.4,,,
6,62.1,,,
7,60.5,,,
8,72.3,,,
9,74.3,,,
10,71.9,,,
1,,85.4,,
2,,74.9,,
3,,58.7,,
4,,65.3,,
5,,58.2,,
6,,77.8,,
7,,50.4,,
8,,63.7,,
9,,78.2,,
10,,63.8,,
1,,,62.7,
2,,,66.7,
3,,,63.6,
4,,,64.3,
5,,,75.6,
6,,,69.2,
7,,,71.2,
8,,,77.4,
9,,,74.7,
10,,,72.9,
1,,,,58.5
2,,,,65.3
3,,,,61.9
4,,,,66.0
5,,,,62.8
6,,,,68.7
7,,,,73.3
8,,,,84.1
9,,,,84.3
10,,,,81.0
1,54.7,,,
2,58.9,,,
3,61.2,,,
4,63.1,,,
5,73.2,,,
6,69.5,,,
7,68.1,,,
8,72.6,,,
9,72.4,,,
10,73.0,,,
1,,49.1,,
2,,78.7,,
3,,49.0,,
4,,66.9,,
5,,76.9,,
6,,48.7,,
7,,60.9,,
8,,55.9,,
9,,58.1,,
10,,63.3,,
1,,,54.4,
2,,,61.9,
3,,,65.3,
4,,,58.2,
5,,,78.2,
6,,,78.0,
7,,,71.1,
8,,,67.8,
9,,,77.3,
10,,,72.5,
1,,,,65.6
2,,,,66.9
3,,,,68.0
4,,,,61.2
5,,,,58.9
6,,,,64.4
7,,,,79.6
8,,,,77.6
9,,,,75.5
10,,,,67.0
1,58.6,,,
2,58.4,,,
3,68.9,,,
4,58.5,,,
5,62.5,,,
6,65.4,,,
7,70.5,,,
8,81.7,,,
9,82.8,,,
10,79.9,,,
1,,62.1,,
2,,54.8,,
3,,55.8,,
4,,68.2,,
5,,68.9,,
6,,52.6,,
7,,58.7,,
8,,71.2,,
9,,74.5,,
10,,63.0,,
1,,,56.4,
2,,,66.3,
3,,,64.0,
4,,,67.1,
5,,,64.3,
6,,,67.5,
7,,,72.7,
8,,,85.4,
9,,,72.9,
10,,,68.8,
1,,,,56.8
2,,,,58.7
3,,,,60.0
4,,,,69.8
5,,,,59.8
6,,,,67.9
7,,,,70.6
8,,,,71.0
9,,,,82.3
10,,,,84.2
1,53.3,,,
2,57.2,,,
3,55.0,,,
4,70.6,,,
5,77.1,,,
6,72.5,,,
7,71.3,,,
8,70.8,,,
9,66.3,,,
10,75.3,,,
1,,67.0,,
2,,72.8,,
3,,54.1,,
4,,38.9,,
5,,69.0,,
6,,57.7,,
7,,63.7,,
8,,75.6,,
9,,81.5,,
10,,78.7,,
1,,,68.8,
2,,,63.3,
3,,,74.4,
4,,,64.3,
5,,,66.9,
6,,,73.2,
7,,,72.2,
8,,,72.3,
9,,,79.8,
10,,,68.7,
1,,,,66.9
2,,,,67.5
3,,,,58.5
4,,,,72.6
5,,,,67.5
6,,,,56.7
7,,,,72.4
8,,,,70.7
9,,,,75.7
10,,,,83.6
1,59.0,,,
2,58.6,,,
3,67.6,,,
4,60.3,,,
5,63.4,,,
6,68.4,,,
7,64.7,,,
8,75.5,,,
9,67.3,,,
10,75.3,,,
1,,56.3,,
2,,72.3,,
3,,65.2,,
4,,45.9,,
5,,68.6,,
6,,58.4,,
7,,49.1,,
8,,71.9,,
9,,65.8,,
10,,61.8,,
1,,,73.6,
2,,,65.7,
3,,,66.9,
4,,,66.1,
5,,,77.2,
6,,,73.4,
7,,,75.5,
8,,,79.7,
9,,,81.0,
10,,,71.8,
1,,,,51.3
2,,,,64.4
3,,,,59.9
4,,,,60.1
5,,,,68.2
6,,,,72.6
7,,,,76.1
8,,,,73.3
9,,,,66.2
10,,,,71.3
1,64.2,,,
2,73.4,,,
3,66.6,,,
4,61.8,,,
5,74.5,,,
6,74.7,,,
7,78.3,,,
8,65.6,,,
9,77.1,,,
10,68.7,,,
1,,51.1,,
2,,70.5,,
3,,64.0,,
4,,62.9,,
5,,69.7,,
6,,59.0,,
7,,71.8,,
8,,58.1,,
9,,79.9,,
10,,53.7,,
1,,,55.1,
2,,,68.6,
3,,,73.2,
4,,,60.1,
5,,,69.7,
6,,,68.9,
7,,,74.5,
8,,,70.3,
9,,,73.7,
10,,,71.6,
1,,,,70.1
2,,,,69.6
3,,,,60.5
4,,,,82.3
5,,,,66.3
6,,,,73.6
7,,,,68.2
8,,,,78.0
9,,,,75.0
10,,,,77.3
1,60.7,,,
2,70.9,,,
3,71.9,,,
4,74.2,,,
5,60.5,,,
6,76.5,,,
7,57.7,,,
8,67.4,,,
9,72.8,,,
10,81.9,,,
1,,64.2,,
2,,43.7,,
3,,68.8,,
4,,78.4,,
5,,74.8,,
6,,68.1,,
7,,72.1,,
8,,57.7,,
9,,72.1,,
10,,66.8,,
1,,,60.4,
2,,,68.8,
3,,,76.9,
4,,,71.9,
5,,,63.9,
6,,,83.3,
7,,,77.2,
8,,,73.5,
9,,,75.9,
10,,,70.8,
1,,,,49.9
2,,,,63.3
3,,,,66.7
4,,,,73.9
5,,,,62.6
6,,,,65.3
7,,,,65.1
8,,,,73.6
9,,,,78.3
10,,,,72.5
1,65.8,,,
2,80.5,,,
3,76.6,,,
4,76.8,,,
5,76.0,,,
6,64.7,,,
7,78.0,,,
8,72.3,,,
9,76.0,,,
10,73.8,,,
1,,52.2,,
2,,65.9,,
3,,63.6,,
4,,45.2,,
5,,66.4,,
6,,49.3,,
7,,68.5,,
8,,53.3,,
9,,75.5,,
10,,52.2,,
1,,,63.1,
2,,,69.0,
3,,,67.9,
4,,,62.8,
5,,,76.8,
6,,,72.6,
7,,,71.1,
8,,,69.3,
9,,,74.8,
10,,,69.4,
1,,,,67.9
2,,,,72.4
3,,,,59.0
4,,,,61.7
5,,,,64.0
6,,,,70.0
7,,,,65.2
8,,,,69.8
9,,,,71.3
10,,,,72.4
1,59.0,,,
2,60.4,,,
3,67.1,,,
4,68.7,,,
5,60.8,,,
6,67.4,,,
7,66.1,,,
8,72.9,,,
9,65.8,,,
10,67.0,,,
1,,76.3,,
2,,65.9,,
3,,54.7,,
4,,66.5,,
5,,64.3,,
6,,64.8,,
7,,78.9,,
8,,67.7,,
9,,80.9,,
10,,73.3,,
1,,,72.0,
2,,,70.6,
3,,,58.6,
4,,,57.5,
5,,,71.5,
6,,,76.3,
7,,,68.9,
8,,,75.0,
9,,,73.3,
10,,,73.4,
1,,,,67.6
2,,,,64.9
3,,,,66.6
4,,,,61.8
5,,,,66.7
6,,,,74.0
7,,,,75.8
8,,,,67.9
9,,,,77.5
10,,,,76.4
1,52.5,,,
2,53.9,,,
3,65.0,,,
4,60.3,,,
5,68.0,,,
6,72.8,,,
7,75.7,,,
8,67.6,,,
9,75.4,,,
10,71.3,,,
1,,62.4,,
2,,64.9,,
3,,69.2,,
4,,61.2,,
5,,52.8,,
6,,67.9,,
7,,75.2,,
8,,65.3,,
9,,84.3,,
10,,71.2,,
1,,,61.1,
2,,,62.9,
3,,,71.4,
4,,,58.3,
5,,,64.3,
6,,,67.3,
7,,,70.3,
8,,,67.1,
9,,,71.9,
10,,,76.1,
1,,,,48.7
2,,,,56.4
3,,,,60.9
4,,,,68.1
5,,,,61.1
6,,,,69.2
7,,,,58.9
8,,,,69.3
9,,,,69.4
10,,,,73.4
1,69.7,,,
2,64.6,,,
3,57.1,,,
4,67.2,,,
5,76.7,,,
6,73.0,,,
7,79.8,,,
8,68.6,,,
9,80.9,,,
10,66.4,,,
1,,61.1,,
2,,49.9,,
3,,71.6,,
4,,76.6,,
5,,58.6,,
6,,83.1,,
7,,61.8,,
8,,61.2,,
9,,65.5,,
10,,61.7,,
1,,,58.9,
2,,,58.0,
3,,,79.6,
4,,,72.2,
5,,,67.6,
6,,,67.1,
